date,day,5-6scale,7-8scale,9-10scale,11scale,12scale,13-16scale,닭고기 평균 가격
2021-12-31,Fri,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-12-30,Thr,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-12-29,Wed,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-12-28,Tue,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-12-27,Mon,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-12-24,Fri,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-12-23,Thr,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-12-22,Wed,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-12-21,Tue,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-12-20,Mon,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-12-18,Sat,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-12-17,Fri,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-12-16,Thr,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-12-15,Wed,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-12-14,Tue,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-12-13,Mon,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-12-11,Sat,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-12-10,Fri,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-12-09,Thr,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-12-08,Wed,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-12-07,Tue,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-12-06,Mon,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-12-04,Sat,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-12-03,Fri,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-12-02,Thr,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-12-01,Wed,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-11-30,Tue,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-11-29,Mon,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-11-27,Sat,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-11-26,Fri,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-11-25,Thr,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-11-24,Wed,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-11-23,Tue,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-11-22,Mon,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-11-20,Sat,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-11-19,Fri,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-11-18,Thr,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-11-17,Wed,"3,100","2,974","2,692","2,591","2,509","2,479","2,724"
2021-11-16,Tue,"3,291","3,133","2,846","2,738","2,654","2,621","2,881"
2021-11-15,Mon,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-11-13,Sat,"3,600","3,450","3,154","3,032","2,944","2,907","3,181"
2021-11-12,Fri,"3,600","3,450","3,154","3,032","2,944","2,907","3,181"
2021-11-11,Thr,"3,600","3,450","3,154","3,032","2,944","2,907","3,181"
2021-11-10,Wed,"3,600","3,450","3,154","3,032","2,944","2,907","3,181"
2021-11-09,Tue,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-11-08,Mon,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-11-06,Sat,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-11-05,Fri,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-11-04,Thr,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-11-03,Wed,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-11-02,Tue,"3,600","3,450","3,154","3,032","2,944","2,907","3,181"
2021-11-01,Mon,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-10-30,Sat,"3,933","3,767","3,462","3,326","3,234","3,193","3,486"
2021-10-29,Fri,"4,100","3,926","3,615","3,474","3,379","3,336","3,638"
2021-10-28,Thr,"4,267","4,085","3,769","3,621","3,524","3,479","3,791"
2021-10-27,Wed,"4,433","4,244","3,923","3,768","3,669","3,621","3,943"
2021-10-26,Tue,"4,433","4,244","3,923","3,768","3,669","3,621","3,943"
2021-10-25,Mon,"4,433","4,244","3,923","3,768","3,669","3,621","3,943"
2021-10-23,Sat,"4,433","4,244","3,923","3,768","3,669","3,621","3,943"
2021-10-22,Fri,"4,433","4,244","3,923","3,768","3,669","3,621","3,943"
2021-10-21,Thr,"4,433","4,244","3,923","3,768","3,669","3,621","3,943"
2021-10-20,Wed,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-10-19,Tue,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-10-18,Mon,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-10-16,Sat,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-10-15,Fri,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-10-14,Thr,"4,767","4,561","4,231","4,062","3,814","3,764","4,200"
2021-10-13,Wed,"4,767","4,561","4,231","4,062","3,814","3,764","4,200"
2021-10-12,Tue,"4,767","4,561","4,231","4,062","3,814","3,764","4,200"
2021-10-08,Fri,"4,767","4,561","4,231","4,062","3,814","3,764","4,200"
2021-10-07,Thr,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-10-06,Wed,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-10-05,Tue,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-10-02,Sat,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-10-01,Fri,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-09-30,Thr,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-09-29,Wed,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-09-28,Tue,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-09-27,Mon,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-09-25,Sat,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-09-24,Fri,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-09-23,Thr,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-09-18,Sat,"3,267","3,133","2,846","2,738","2,654","2,621","2,877"
2021-09-17,Fri,"3,267","3,133","2,846","2,738","2,654","2,621","2,877"
2021-09-16,Thr,"3,267","3,133","2,846","2,738","2,654","2,621","2,877"
2021-09-15,Wed,"3,267","3,133","2,846","2,738","2,654","2,621","2,877"
2021-09-14,Tue,"3,267","3,133","2,846","2,738","2,654","2,621","2,877"
2021-09-13,Mon,"3,267","3,133","2,846","2,738","2,654","2,621","2,877"
2021-09-11,Sat,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-09-10,Fri,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-09-09,Thr,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-09-08,Wed,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-09-07,Tue,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-09-06,Mon,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-09-04,Sat,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-09-03,Fri,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-09-02,Thr,"3,267","3,133","2,846","2,738","2,654","2,621","2,877"
2021-09-01,Wed,"3,100","2,974","2,692","2,591","2,509","2,479","2,724"
2021-08-31,Tue,"3,100","2,974","2,692","2,591","2,509","2,479","2,724"
2021-08-30,Mon,"3,100","2,974","2,692","2,591","2,509","2,479","2,724"
2021-08-28,Sat,"3,100","2,974","2,692","2,591","2,509","2,479","2,724"
2021-08-27,Fri,"3,100","2,974","2,692","2,591","2,509","2,479","2,724"
2021-08-26,Thr,"3,100","2,974","2,692","2,591","2,509","2,479","2,724"
2021-08-25,Wed,"3,267","3,133","2,846","2,738","2,654","2,621","2,877"
2021-08-24,Tue,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2021-08-23,Mon,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-08-21,Sat,"3,933","3,767","3,462","3,326","3,234","3,193","3,486"
2021-08-20,Fri,"4,267","4,085","3,769","3,621","3,524","3,479","3,791"
2021-08-19,Thr,"4,433","4,244","3,923","3,768","3,669","3,621","3,943"
2021-08-18,Wed,"4,600","4,402","4,077","3,915","3,814","3,764","4,095"
2021-08-17,Tue,"4,600","4,402","4,077","3,915","3,814","3,764","4,095"
2021-08-14,Sat,"4,600","4,402","4,077","3,915","3,814","3,764","4,095"
2021-08-13,Fri,"4,600","4,402","4,077","3,915","3,814","3,764","4,095"
2021-08-12,Thr,"4,600","4,402","4,077","3,915","3,814","3,764","4,095"
2021-08-11,Wed,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-08-10,Tue,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-08-09,Mon,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-08-07,Sat,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-08-06,Fri,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-08-05,Thr,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-08-04,Wed,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-08-03,Tue,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-08-02,Mon,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-07-31,Sat,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-30,Fri,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-29,Thr,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-28,Wed,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-27,Tue,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-26,Mon,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-24,Sat,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-23,Fri,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-22,Thr,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-21,Wed,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-20,Tue,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-19,Mon,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-07-17,Sat,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-07-16,Fri,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-07-15,Thr,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-07-14,Wed,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-07-13,Tue,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-07-12,Mon,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-07-10,Sat,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-07-09,Fri,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-07-08,Thr,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2021-07-07,Wed,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2021-07-06,Tue,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-07-05,Mon,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-07-03,Sat,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-07-02,Fri,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-07-01,Thr,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-06-30,Wed,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-06-29,Tue,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-06-28,Mon,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-06-26,Sat,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-06-25,Fri,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-06-24,Thr,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-06-23,Wed,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-06-22,Tue,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-06-21,Mon,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-06-19,Sat,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-06-18,Fri,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-06-17,Thr,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-06-16,Wed,"2,933","2,815","2,538","2,444","2,220","2,193","2,524"
2021-06-15,Tue,"2,933","2,815","2,538","2,444","2,220","2,193","2,524"
2021-06-14,Mon,"2,933","2,815","2,538","2,444","2,220","2,193","2,524"
2021-06-12,Sat,"2,933","2,815","2,538","2,444","2,220","2,193","2,524"
2021-06-11,Fri,"2,933","2,815","2,538","2,444","2,220","2,193","2,524"
2021-06-10,Thr,"2,933","2,815","2,538","2,444","2,220","2,193","2,524"
2021-06-09,Wed,"2,933","2,815","2,538","2,444","2,220","2,193","2,524"
2021-06-08,Tue,"2,933","2,815","2,538","2,444","2,220","2,193","2,524"
2021-06-07,Mon,"2,933","2,815","2,538","2,444","2,220","2,193","2,524"
2021-06-05,Sat,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-06-04,Fri,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-06-03,Thr,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-06-02,Wed,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-06-01,Tue,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-05-31,Mon,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-05-29,Sat,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-05-28,Fri,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-05-27,Thr,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-05-26,Wed,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-05-25,Tue,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-05-24,Mon,"3,100","2,974","2,692","2,591","2,364","2,336","2,676"
2021-05-22,Sat,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-05-21,Fri,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-05-20,Thr,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-05-18,Tue,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-05-17,Mon,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2021-05-15,Sat,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-05-14,Fri,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-05-13,Thr,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-05-12,Wed,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-05-11,Tue,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-05-10,Mon,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-05-08,Sat,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-05-07,Fri,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-05-06,Thr,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-05-04,Tue,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-05-03,Mon,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-05-01,Sat,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-04-30,Fri,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-04-29,Thr,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-04-28,Wed,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-04-27,Tue,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-04-26,Mon,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-04-24,Sat,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-04-23,Fri,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-04-22,Thr,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-04-21,Wed,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-04-20,Tue,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-04-19,Mon,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-04-17,Sat,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-04-16,Fri,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-04-15,Thr,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-04-14,Wed,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-04-13,Tue,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-04-12,Mon,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-04-10,Sat,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-04-09,Fri,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-04-08,Thr,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-04-07,Wed,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-04-06,Tue,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-04-05,Mon,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-04-03,Sat,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-04-02,Fri,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2021-04-01,Thr,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2021-03-31,Wed,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-03-30,Tue,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-03-29,Mon,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-03-27,Sat,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-03-26,Fri,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-03-25,Thr,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-03-24,Wed,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-03-23,Tue,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-03-22,Mon,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2021-03-20,Sat,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-03-19,Fri,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2021-03-18,Thr,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-17,Wed,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-16,Tue,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-15,Mon,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-13,Sat,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-12,Fri,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-11,Thr,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-10,Wed,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-09,Tue,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-08,Mon,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-06,Sat,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-05,Fri,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-04,Thr,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-03,Wed,"3,600","3,450","3,308","3,179","2,944","2,907","3,231"
2021-03-02,Tue,"3,767","3,609","3,462","3,326","3,089","3,050","3,384"
2021-02-27,Sat,"3,933","3,767","3,615","3,474","3,234","3,193","3,536"
2021-02-26,Fri,"3,933","3,767","3,615","3,474","3,234","3,193","3,536"
2021-02-25,Thr,"3,933","3,767","3,615","3,474","3,234","3,193","3,536"
2021-02-24,Wed,"3,933","3,767","3,615","3,474","3,234","3,193","3,536"
2021-02-23,Tue,"3,767","3,609","3,462","3,326","3,089","3,050","3,384"
2021-02-22,Mon,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-20,Sat,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-19,Fri,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-18,Thr,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-17,Wed,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-16,Tue,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-15,Mon,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-10,Wed,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-09,Tue,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-08,Mon,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-06,Sat,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-05,Fri,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-04,Thr,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-03,Wed,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-02,Tue,"3,767","3,609","3,308","3,179","3,089","3,050","3,334"
2021-02-01,Mon,"3,933","3,767","3,462","3,326","3,234","3,193","3,486"
2021-01-30,Sat,"4,100","3,926","3,615","3,474","3,379","3,336","3,638"
2021-01-29,Fri,"4,100","3,926","3,615","3,474","3,379","3,336","3,638"
2021-01-28,Thr,"4,267","4,085","3,769","3,621","3,524","3,479","3,791"
2021-01-27,Wed,"4,433","4,244","3,923","3,768","3,669","3,621","3,943"
2021-01-26,Tue,"4,433","4,244","3,923","3,768","3,669","3,621","3,943"
2021-01-25,Mon,"4,600","4,402","4,077","3,915","3,814","3,764","4,095"
2021-01-23,Sat,"4,600","4,402","4,077","3,915","3,814","3,764","4,095"
2021-01-22,Fri,"4,600","4,402","4,077","3,915","3,814","3,764","4,095"
2021-01-21,Thr,"4,600","4,402","4,077","3,915","3,814","3,764","4,095"
2021-01-20,Wed,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-19,Tue,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-18,Mon,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-16,Sat,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-15,Fri,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-14,Thr,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-13,Wed,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-12,Tue,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-11,Mon,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-09,Sat,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-08,Fri,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-07,Thr,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-06,Wed,"4,600","4,402","4,077","3,915","3,669","3,621","4,047"
2021-01-05,Tue,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-01-04,Mon,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2021-01-02,Sat,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2020-12-31,Thr,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2020-12-30,Wed,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2020-12-29,Tue,"4,433","4,244","3,923","3,768","3,524","3,479","3,895"
2020-12-28,Mon,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2020-12-26,Sat,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2020-12-24,Thr,"4,267","4,085","3,769","3,621","3,379","3,336","3,743"
2020-12-23,Wed,"4,100","3,926","3,615","3,474","3,234","3,193","3,590"
2020-12-22,Tue,"3,933","3,767","3,462","3,326","3,089","3,050","3,438"
2020-12-21,Mon,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2020-12-19,Sat,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2020-12-18,Fri,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2020-12-17,Thr,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2020-12-16,Wed,"3,767","3,609","3,308","3,179","2,944","2,907","3,286"
2020-12-15,Tue,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2020-12-14,Mon,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2020-12-12,Sat,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2020-12-11,Fri,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2020-12-10,Thr,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2020-12-09,Wed,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2020-12-08,Tue,"3,600","3,450","3,154","3,032","2,799","2,764","3,133"
2020-12-07,Mon,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-12-05,Sat,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-12-04,Fri,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-12-03,Thr,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-12-02,Wed,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-12-01,Tue,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-30,Mon,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-28,Sat,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-27,Fri,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-26,Thr,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-25,Wed,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-24,Tue,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-23,Mon,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-21,Sat,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-20,Fri,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-19,Thr,"3,433","3,291","3,000","2,885","2,654","2,621","2,981"
2020-11-18,Wed,"3,267","3,133","2,846","2,738","2,509","2,479","2,829"
2020-11-17,Tue,"3,100","2,974","2,692","2,591","2,509","2,479","2,724"
2020-11-16,Mon,"3,267","3,133","2,846","2,738","2,654","2,621","2,877"
2020-11-14,Sat,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2020-11-13,Fri,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
2020-11-12,Thr,"3,433","3,291","3,000","2,885","2,799","2,764","3,029"
